stem,options,answer,analysis,knowledgePointIds,difficulty,type,source,year,expectedTimeSec
补码表示中，n 位带符号整数的范围是?（变式 4，计算机组成原理-数据表示与运算）,A.-2^(n-1)+1 到 2^(n-1)-1|B.-2^(n-1) 到 2^(n-1)-1|C.0 到 2^n-1|D.-2^n 到 2^n-1,B,补码最高位为符号位，负数比正数多一个最小值。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-data,中等,选择题,自编变式题,2026,80
判断补码加法溢出的常见依据是?（变式 4，计算机组成原理-数据表示与运算）,A.同号相加结果异号|B.结果为 0|C.最高位为 1|D.低位产生进位,A,两个同号数相加若结果符号改变，说明超出补码表示范围。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-data,困难,选择题,自编变式题,2026,90
浮点数阶码的主要作用是?（变式 4，计算机组成原理-数据表示与运算）,A.表示有效数字精度|B.保存符号|C.决定总线宽度|D.表示数值范围,D,阶码决定小数点位置，主要影响浮点数可表示范围。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-data,困难,选择题,自编变式题,2026,100
规格化浮点数的主要目的是?（变式 4，计算机组成原理-数据表示与运算）,A.避免使用阶码|B.固定结果为整数|C.提高有效位利用率|D.减少指令条数,C,规格化使尾数最高有效位满足约定，提高有效数字利用率。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-data,困难,选择题,自编变式题,2026,110
原码表示中 0 通常存在的问题是?（变式 4，计算机组成原理-数据表示与运算）,A.只能表示偶数|B.有 +0 和 -0 两种表示|C.无法表示正数|D.无法表示负数,B,原码符号位独立，数值位全 0 时可能出现正零和负零。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-data,困难,选择题,自编变式题,2026,120
Cache 命中率提高通常会?,A.降低平均访存时间|B.增加主存容量|C.改变 CPU 字长|D.取消缺页中断,A,Cache 命中时访问速度快，命中率提高会降低平均访存时间。,co-cache,基础,选择题,自编基础题,2026,80
直接映射 Cache 中，主存块映射到 Cache 的位置数量是?,A.2 个|B.任意多个|C.等于主存块数|D.1 个,D,直接映射中每个主存块只能映射到一个固定 Cache 行。,co-cache,基础,选择题,自编基础题,2026,90
全相联映射的主要优点是?,A.不需要标记位|B.容量一定最大|C.冲突概率低|D.硬件比较最简单,C,全相联允许主存块放入任意 Cache 行，冲突不命中概率低。,co-cache,基础,选择题,自编基础题,2026,100
写回法 Cache 的特点是?,A.只能读不能写|B.修改先写 Cache，替换时写回主存|C.每次写都同步主存|D.不需要脏位,B,写回法延迟更新主存，替换被修改块时才写回，通常需要脏位。,co-cache,基础,选择题,自编基础题,2026,110
局部性原理包括时间局部性和?,A.空间局部性|B.进程局部性|C.磁盘局部性|D.总线局部性,A,程序访问地址常集中在相邻区域，称为空间局部性。,co-cache,基础,选择题,自编基础题,2026,120
Cache 命中率提高通常会?（变式 2，计算机组成原理-存储系统）,A.增加主存容量|B.改变 CPU 字长|C.取消缺页中断|D.降低平均访存时间,D,Cache 命中时访问速度快，命中率提高会降低平均访存时间。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cache,基础,选择题,自编变式题,2026,80
直接映射 Cache 中，主存块映射到 Cache 的位置数量是?（变式 2，计算机组成原理-存储系统）,A.任意多个|B.等于主存块数|C.1 个|D.2 个,C,直接映射中每个主存块只能映射到一个固定 Cache 行。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cache,基础,选择题,自编变式题,2026,90
全相联映射的主要优点是?（变式 2，计算机组成原理-存储系统）,A.容量一定最大|B.冲突概率低|C.硬件比较最简单|D.不需要标记位,B,全相联允许主存块放入任意 Cache 行，冲突不命中概率低。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cache,基础,选择题,自编变式题,2026,100
写回法 Cache 的特点是?（变式 2，计算机组成原理-存储系统）,A.修改先写 Cache，替换时写回主存|B.每次写都同步主存|C.不需要脏位|D.只能读不能写,A,写回法延迟更新主存，替换被修改块时才写回，通常需要脏位。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cache,中等,选择题,自编变式题,2026,110
局部性原理包括时间局部性和?（变式 2，计算机组成原理-存储系统）,A.进程局部性|B.磁盘局部性|C.总线局部性|D.空间局部性,D,程序访问地址常集中在相邻区域，称为空间局部性。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cache,中等,选择题,自编变式题,2026,120
Cache 命中率提高通常会?（变式 3，计算机组成原理-存储系统）,A.改变 CPU 字长|B.取消缺页中断|C.降低平均访存时间|D.增加主存容量,C,Cache 命中时访问速度快，命中率提高会降低平均访存时间。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cache,中等,选择题,自编变式题,2026,80
直接映射 Cache 中，主存块映射到 Cache 的位置数量是?（变式 3，计算机组成原理-存储系统）,A.等于主存块数|B.1 个|C.2 个|D.任意多个,B,直接映射中每个主存块只能映射到一个固定 Cache 行。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cache,中等,选择题,自编变式题,2026,90
全相联映射的主要优点是?（变式 3，计算机组成原理-存储系统）,A.冲突概率低|B.硬件比较最简单|C.不需要标记位|D.容量一定最大,A,全相联允许主存块放入任意 Cache 行，冲突不命中概率低。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cache,中等,选择题,自编变式题,2026,100
写回法 Cache 的特点是?（变式 3，计算机组成原理-存储系统）,A.每次写都同步主存|B.不需要脏位|C.只能读不能写|D.修改先写 Cache，替换时写回主存,D,写回法延迟更新主存，替换被修改块时才写回，通常需要脏位。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cache,中等,选择题,自编变式题,2026,110
局部性原理包括时间局部性和?（变式 3，计算机组成原理-存储系统）,A.磁盘局部性|B.总线局部性|C.空间局部性|D.进程局部性,C,程序访问地址常集中在相邻区域，称为空间局部性。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cache,中等,选择题,自编变式题,2026,120
Cache 命中率提高通常会?（变式 4，计算机组成原理-存储系统）,A.取消缺页中断|B.降低平均访存时间|C.增加主存容量|D.改变 CPU 字长,B,Cache 命中时访问速度快，命中率提高会降低平均访存时间。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cache,中等,选择题,自编变式题,2026,80
直接映射 Cache 中，主存块映射到 Cache 的位置数量是?（变式 4，计算机组成原理-存储系统）,A.1 个|B.2 个|C.任意多个|D.等于主存块数,A,直接映射中每个主存块只能映射到一个固定 Cache 行。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cache,困难,选择题,自编变式题,2026,90
全相联映射的主要优点是?（变式 4，计算机组成原理-存储系统）,A.硬件比较最简单|B.不需要标记位|C.容量一定最大|D.冲突概率低,D,全相联允许主存块放入任意 Cache 行，冲突不命中概率低。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cache,困难,选择题,自编变式题,2026,100
写回法 Cache 的特点是?（变式 4，计算机组成原理-存储系统）,A.不需要脏位|B.只能读不能写|C.修改先写 Cache，替换时写回主存|D.每次写都同步主存,C,写回法延迟更新主存，替换被修改块时才写回，通常需要脏位。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cache,困难,选择题,自编变式题,2026,110
局部性原理包括时间局部性和?（变式 4，计算机组成原理-存储系统）,A.总线局部性|B.空间局部性|C.进程局部性|D.磁盘局部性,B,程序访问地址常集中在相邻区域，称为空间局部性。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cache,困难,选择题,自编变式题,2026,120
指令操作码字段主要指出?,A.执行什么操作|B.操作数地址|C.下一条指令地址|D.中断类型,A,操作码用于规定指令要完成的操作类型。,co-instruction,基础,选择题,自编基础题,2026,80
立即寻址的操作数通常位于?,A.主存地址单元|B.寄存器间接指向位置|C.堆栈顶部|D.指令本身,D,立即寻址把操作数直接放在指令中。,co-instruction,基础,选择题,自编基础题,2026,90
寄存器寻址相比存储器寻址通常?,A.必须访问磁盘|B.不能用于算术运算|C.速度更快|D.地址更长,C,寄存器位于 CPU 内部，访问速度通常快于主存。,co-instruction,基础,选择题,自编基础题,2026,100
变长指令格式的优点之一是?,A.无需操作码|B.编码灵活|C.译码一定最简单|D.所有指令长度相同,B,变长格式可按指令复杂度分配不同长度，编码更灵活。,co-instruction,基础,选择题,自编基础题,2026,110
堆栈寻址常用于支持?,A.过程调用和返回|B.显示刷新|C.磁盘分区|D.Cache 替换,A,过程调用需要保存返回地址和现场，堆栈结构适合后进先出管理。,co-instruction,基础,选择题,自编基础题,2026,120
指令操作码字段主要指出?（变式 2，计算机组成原理-指令系统）,A.操作数地址|B.下一条指令地址|C.中断类型|D.执行什么操作,D,操作码用于规定指令要完成的操作类型。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-instruction,基础,选择题,自编变式题,2026,80
立即寻址的操作数通常位于?（变式 2，计算机组成原理-指令系统）,A.寄存器间接指向位置|B.堆栈顶部|C.指令本身|D.主存地址单元,C,立即寻址把操作数直接放在指令中。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-instruction,基础,选择题,自编变式题,2026,90
寄存器寻址相比存储器寻址通常?（变式 2，计算机组成原理-指令系统）,A.不能用于算术运算|B.速度更快|C.地址更长|D.必须访问磁盘,B,寄存器位于 CPU 内部，访问速度通常快于主存。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-instruction,基础,选择题,自编变式题,2026,100
变长指令格式的优点之一是?（变式 2，计算机组成原理-指令系统）,A.编码灵活|B.译码一定最简单|C.所有指令长度相同|D.无需操作码,A,变长格式可按指令复杂度分配不同长度，编码更灵活。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-instruction,中等,选择题,自编变式题,2026,110
堆栈寻址常用于支持?（变式 2，计算机组成原理-指令系统）,A.显示刷新|B.磁盘分区|C.Cache 替换|D.过程调用和返回,D,过程调用需要保存返回地址和现场，堆栈结构适合后进先出管理。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-instruction,中等,选择题,自编变式题,2026,120
指令操作码字段主要指出?（变式 3，计算机组成原理-指令系统）,A.下一条指令地址|B.中断类型|C.执行什么操作|D.操作数地址,C,操作码用于规定指令要完成的操作类型。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-instruction,中等,选择题,自编变式题,2026,80
立即寻址的操作数通常位于?（变式 3，计算机组成原理-指令系统）,A.堆栈顶部|B.指令本身|C.主存地址单元|D.寄存器间接指向位置,B,立即寻址把操作数直接放在指令中。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-instruction,中等,选择题,自编变式题,2026,90
寄存器寻址相比存储器寻址通常?（变式 3，计算机组成原理-指令系统）,A.速度更快|B.地址更长|C.必须访问磁盘|D.不能用于算术运算,A,寄存器位于 CPU 内部，访问速度通常快于主存。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-instruction,中等,选择题,自编变式题,2026,100
变长指令格式的优点之一是?（变式 3，计算机组成原理-指令系统）,A.译码一定最简单|B.所有指令长度相同|C.无需操作码|D.编码灵活,D,变长格式可按指令复杂度分配不同长度，编码更灵活。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-instruction,中等,选择题,自编变式题,2026,110
堆栈寻址常用于支持?（变式 3，计算机组成原理-指令系统）,A.磁盘分区|B.Cache 替换|C.过程调用和返回|D.显示刷新,C,过程调用需要保存返回地址和现场，堆栈结构适合后进先出管理。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-instruction,中等,选择题,自编变式题,2026,120
指令操作码字段主要指出?（变式 4，计算机组成原理-指令系统）,A.中断类型|B.执行什么操作|C.操作数地址|D.下一条指令地址,B,操作码用于规定指令要完成的操作类型。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-instruction,中等,选择题,自编变式题,2026,80
立即寻址的操作数通常位于?（变式 4，计算机组成原理-指令系统）,A.指令本身|B.主存地址单元|C.寄存器间接指向位置|D.堆栈顶部,A,立即寻址把操作数直接放在指令中。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-instruction,困难,选择题,自编变式题,2026,90
寄存器寻址相比存储器寻址通常?（变式 4，计算机组成原理-指令系统）,A.地址更长|B.必须访问磁盘|C.不能用于算术运算|D.速度更快,D,寄存器位于 CPU 内部，访问速度通常快于主存。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-instruction,困难,选择题,自编变式题,2026,100
变长指令格式的优点之一是?（变式 4，计算机组成原理-指令系统）,A.所有指令长度相同|B.无需操作码|C.编码灵活|D.译码一定最简单,C,变长格式可按指令复杂度分配不同长度，编码更灵活。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-instruction,困难,选择题,自编变式题,2026,110
堆栈寻址常用于支持?（变式 4，计算机组成原理-指令系统）,A.Cache 替换|B.过程调用和返回|C.显示刷新|D.磁盘分区,B,过程调用需要保存返回地址和现场，堆栈结构适合后进先出管理。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-instruction,困难,选择题,自编变式题,2026,120
CPU 数据通路的核心任务是?,A.完成数据传送和运算|B.保存文件目录|C.建立网络连接|D.管理磁盘分区,A,数据通路由寄存器、ALU、总线等组成，负责数据流动和运算。,co-cpu,基础,选择题,自编基础题,2026,80
控制器的主要功能是?,A.扩大主存容量|B.压缩文件|C.分配 IP 地址|D.产生控制信号,D,控制器根据指令周期和状态产生控制信号，协调数据通路工作。,co-cpu,基础,选择题,自编基础题,2026,90
流水线提高性能的主要原因是?,A.取消时钟|B.增加磁盘容量|C.多条指令不同阶段重叠执行|D.减少指令种类,C,流水线将指令执行划分阶段，让不同指令在不同阶段并行推进。,co-cpu,基础,选择题,自编基础题,2026,100
数据冒险通常发生在?,A.系统没有中断|B.后续指令依赖前序指令结果|C.程序没有循环|D.Cache 容量过大,B,后续指令需要尚未写回的结果时，会产生数据相关冲突。,co-cpu,基础,选择题,自编基础题,2026,110
中断响应时 CPU 通常首先需要保存?,A.断点和现场信息|B.显示器分辨率|C.文件扩展名|D.网卡 MAC 地址,A,保存断点和现场后，CPU 才能处理中断并在之后恢复原程序。,co-cpu,基础,选择题,自编基础题,2026,120
CPU 数据通路的核心任务是?（变式 2，计算机组成原理-中央处理器）,A.保存文件目录|B.建立网络连接|C.管理磁盘分区|D.完成数据传送和运算,D,数据通路由寄存器、ALU、总线等组成，负责数据流动和运算。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cpu,基础,选择题,自编变式题,2026,80
控制器的主要功能是?（变式 2，计算机组成原理-中央处理器）,A.压缩文件|B.分配 IP 地址|C.产生控制信号|D.扩大主存容量,C,控制器根据指令周期和状态产生控制信号，协调数据通路工作。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cpu,基础,选择题,自编变式题,2026,90
流水线提高性能的主要原因是?（变式 2，计算机组成原理-中央处理器）,A.增加磁盘容量|B.多条指令不同阶段重叠执行|C.减少指令种类|D.取消时钟,B,流水线将指令执行划分阶段，让不同指令在不同阶段并行推进。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cpu,基础,选择题,自编变式题,2026,100
数据冒险通常发生在?（变式 2，计算机组成原理-中央处理器）,A.后续指令依赖前序指令结果|B.程序没有循环|C.Cache 容量过大|D.系统没有中断,A,后续指令需要尚未写回的结果时，会产生数据相关冲突。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cpu,中等,选择题,自编变式题,2026,110
中断响应时 CPU 通常首先需要保存?（变式 2，计算机组成原理-中央处理器）,A.显示器分辨率|B.文件扩展名|C.网卡 MAC 地址|D.断点和现场信息,D,保存断点和现场后，CPU 才能处理中断并在之后恢复原程序。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cpu,中等,选择题,自编变式题,2026,120
CPU 数据通路的核心任务是?（变式 3，计算机组成原理-中央处理器）,A.建立网络连接|B.管理磁盘分区|C.完成数据传送和运算|D.保存文件目录,C,数据通路由寄存器、ALU、总线等组成，负责数据流动和运算。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cpu,中等,选择题,自编变式题,2026,80
控制器的主要功能是?（变式 3，计算机组成原理-中央处理器）,A.分配 IP 地址|B.产生控制信号|C.扩大主存容量|D.压缩文件,B,控制器根据指令周期和状态产生控制信号，协调数据通路工作。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cpu,中等,选择题,自编变式题,2026,90
流水线提高性能的主要原因是?（变式 3，计算机组成原理-中央处理器）,A.多条指令不同阶段重叠执行|B.减少指令种类|C.取消时钟|D.增加磁盘容量,A,流水线将指令执行划分阶段，让不同指令在不同阶段并行推进。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cpu,中等,选择题,自编变式题,2026,100
数据冒险通常发生在?（变式 3，计算机组成原理-中央处理器）,A.程序没有循环|B.Cache 容量过大|C.系统没有中断|D.后续指令依赖前序指令结果,D,后续指令需要尚未写回的结果时，会产生数据相关冲突。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cpu,中等,选择题,自编变式题,2026,110
中断响应时 CPU 通常首先需要保存?（变式 3，计算机组成原理-中央处理器）,A.文件扩展名|B.网卡 MAC 地址|C.断点和现场信息|D.显示器分辨率,C,保存断点和现场后，CPU 才能处理中断并在之后恢复原程序。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cpu,中等,选择题,自编变式题,2026,120
CPU 数据通路的核心任务是?（变式 4，计算机组成原理-中央处理器）,A.管理磁盘分区|B.完成数据传送和运算|C.保存文件目录|D.建立网络连接,B,数据通路由寄存器、ALU、总线等组成，负责数据流动和运算。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cpu,中等,选择题,自编变式题,2026,80
控制器的主要功能是?（变式 4，计算机组成原理-中央处理器）,A.产生控制信号|B.扩大主存容量|C.压缩文件|D.分配 IP 地址,A,控制器根据指令周期和状态产生控制信号，协调数据通路工作。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cpu,困难,选择题,自编变式题,2026,90
流水线提高性能的主要原因是?（变式 4，计算机组成原理-中央处理器）,A.减少指令种类|B.取消时钟|C.增加磁盘容量|D.多条指令不同阶段重叠执行,D,流水线将指令执行划分阶段，让不同指令在不同阶段并行推进。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cpu,困难,选择题,自编变式题,2026,100
数据冒险通常发生在?（变式 4，计算机组成原理-中央处理器）,A.Cache 容量过大|B.系统没有中断|C.后续指令依赖前序指令结果|D.程序没有循环,C,后续指令需要尚未写回的结果时，会产生数据相关冲突。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cpu,困难,选择题,自编变式题,2026,110
中断响应时 CPU 通常首先需要保存?（变式 4，计算机组成原理-中央处理器）,A.网卡 MAC 地址|B.断点和现场信息|C.显示器分辨率|D.文件扩展名,B,保存断点和现场后，CPU 才能处理中断并在之后恢复原程序。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,co-cpu,困难,选择题,自编变式题,2026,120
进程与程序的主要区别是?,A.进程是程序的一次执行过程|B.程序一定占用 CPU|C.进程不能并发|D.程序有 PCB,A,进程是动态概念，表示程序在某个数据集合上的一次运行活动。,os-process,基础,选择题,自编基础题,2026,80
PCB 的作用是?,A.保存文件内容|B.记录磁盘坏块|C.表示网络报文|D.描述和管理进程,D,PCB 保存进程状态、资源、调度信息，是操作系统管理进程的核心数据结构。,os-process,基础,选择题,自编基础题,2026,90
时间片轮转调度适合?,A.只运行一个进程|B.静态链接|C.分时系统|D.批处理长作业独占,C,时间片轮转让多个交互进程轮流使用 CPU，提高响应性。,os-process,基础,选择题,自编基础题,2026,100
进程从运行态变为就绪态的典型原因是?,A.申请磁盘失败|B.时间片用完|C.等待 I/O|D.程序结束,B,时间片用完后进程让出 CPU，但仍具备运行条件，转入就绪态。,os-process,基础,选择题,自编基础题,2026,110
上下文切换的直接开销来自?,A.保存和恢复 CPU 现场|B.扩大硬盘空间|C.改变文件名|D.重新安装系统,A,上下文切换需要保存当前进程现场并恢复另一个进程现场。,os-process,基础,选择题,自编基础题,2026,120
进程与程序的主要区别是?（变式 2，操作系统-进程管理）,A.程序一定占用 CPU|B.进程不能并发|C.程序有 PCB|D.进程是程序的一次执行过程,D,进程是动态概念，表示程序在某个数据集合上的一次运行活动。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-process,基础,选择题,自编变式题,2026,80
PCB 的作用是?（变式 2，操作系统-进程管理）,A.记录磁盘坏块|B.表示网络报文|C.描述和管理进程|D.保存文件内容,C,PCB 保存进程状态、资源、调度信息，是操作系统管理进程的核心数据结构。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-process,基础,选择题,自编变式题,2026,90
时间片轮转调度适合?（变式 2，操作系统-进程管理）,A.静态链接|B.分时系统|C.批处理长作业独占|D.只运行一个进程,B,时间片轮转让多个交互进程轮流使用 CPU，提高响应性。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-process,基础,选择题,自编变式题,2026,100
进程从运行态变为就绪态的典型原因是?（变式 2，操作系统-进程管理）,A.时间片用完|B.等待 I/O|C.程序结束|D.申请磁盘失败,A,时间片用完后进程让出 CPU，但仍具备运行条件，转入就绪态。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-process,中等,选择题,自编变式题,2026,110
上下文切换的直接开销来自?（变式 2，操作系统-进程管理）,A.扩大硬盘空间|B.改变文件名|C.重新安装系统|D.保存和恢复 CPU 现场,D,上下文切换需要保存当前进程现场并恢复另一个进程现场。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-process,中等,选择题,自编变式题,2026,120
进程与程序的主要区别是?（变式 3，操作系统-进程管理）,A.进程不能并发|B.程序有 PCB|C.进程是程序的一次执行过程|D.程序一定占用 CPU,C,进程是动态概念，表示程序在某个数据集合上的一次运行活动。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-process,中等,选择题,自编变式题,2026,80
PCB 的作用是?（变式 3，操作系统-进程管理）,A.表示网络报文|B.描述和管理进程|C.保存文件内容|D.记录磁盘坏块,B,PCB 保存进程状态、资源、调度信息，是操作系统管理进程的核心数据结构。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-process,中等,选择题,自编变式题,2026,90
时间片轮转调度适合?（变式 3，操作系统-进程管理）,A.分时系统|B.批处理长作业独占|C.只运行一个进程|D.静态链接,A,时间片轮转让多个交互进程轮流使用 CPU，提高响应性。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-process,中等,选择题,自编变式题,2026,100
进程从运行态变为就绪态的典型原因是?（变式 3，操作系统-进程管理）,A.等待 I/O|B.程序结束|C.申请磁盘失败|D.时间片用完,D,时间片用完后进程让出 CPU，但仍具备运行条件，转入就绪态。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-process,中等,选择题,自编变式题,2026,110
上下文切换的直接开销来自?（变式 3，操作系统-进程管理）,A.改变文件名|B.重新安装系统|C.保存和恢复 CPU 现场|D.扩大硬盘空间,C,上下文切换需要保存当前进程现场并恢复另一个进程现场。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-process,中等,选择题,自编变式题,2026,120
进程与程序的主要区别是?（变式 4，操作系统-进程管理）,A.程序有 PCB|B.进程是程序的一次执行过程|C.程序一定占用 CPU|D.进程不能并发,B,进程是动态概念，表示程序在某个数据集合上的一次运行活动。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-process,中等,选择题,自编变式题,2026,80
PCB 的作用是?（变式 4，操作系统-进程管理）,A.描述和管理进程|B.保存文件内容|C.记录磁盘坏块|D.表示网络报文,A,PCB 保存进程状态、资源、调度信息，是操作系统管理进程的核心数据结构。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-process,困难,选择题,自编变式题,2026,90
时间片轮转调度适合?（变式 4，操作系统-进程管理）,A.批处理长作业独占|B.只运行一个进程|C.静态链接|D.分时系统,D,时间片轮转让多个交互进程轮流使用 CPU，提高响应性。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-process,困难,选择题,自编变式题,2026,100
进程从运行态变为就绪态的典型原因是?（变式 4，操作系统-进程管理）,A.程序结束|B.申请磁盘失败|C.时间片用完|D.等待 I/O,C,时间片用完后进程让出 CPU，但仍具备运行条件，转入就绪态。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-process,困难,选择题,自编变式题,2026,110
上下文切换的直接开销来自?（变式 4，操作系统-进程管理）,A.重新安装系统|B.保存和恢复 CPU 现场|C.扩大硬盘空间|D.改变文件名,B,上下文切换需要保存当前进程现场并恢复另一个进程现场。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-process,困难,选择题,自编变式题,2026,120
临界区是指?,A.访问共享资源的代码段|B.内核全部代码|C.用户输入区|D.磁盘空闲区,A,临界区中会访问共享资源，需要互斥保护以避免竞争。,os-sync,基础,选择题,自编基础题,2026,80
信号量 wait 操作的核心语义是?,A.释放资源|B.终止进程|C.创建文件|D.申请资源并可能阻塞,D,wait/P 操作减少信号量，资源不足时进程可能进入阻塞。,os-sync,基础,选择题,自编基础题,2026,90
互斥信号量初值通常设为?,A.-1|B.进程数+1|C.1|D.0,C,互斥资源同一时刻只能被一个进程访问，因此二元信号量初值常为 1。,os-sync,基础,选择题,自编基础题,2026,100
死锁产生的必要条件不包括?,A.循环等待|B.响应比最高|C.互斥|D.不可剥夺,B,死锁必要条件包括互斥、占有并等待、不可剥夺和循环等待。,os-sync,基础,选择题,自编基础题,2026,110
银行家算法用于?,A.死锁避免|B.死锁检测后的恢复|C.文件压缩|D.页面置换,A,银行家算法在资源分配前判断系统是否仍处于安全状态。,os-sync,基础,选择题,自编基础题,2026,120
临界区是指?（变式 2，操作系统-进程管理）,A.内核全部代码|B.用户输入区|C.磁盘空闲区|D.访问共享资源的代码段,D,临界区中会访问共享资源，需要互斥保护以避免竞争。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-sync,基础,选择题,自编变式题,2026,80
信号量 wait 操作的核心语义是?（变式 2，操作系统-进程管理）,A.终止进程|B.创建文件|C.申请资源并可能阻塞|D.释放资源,C,wait/P 操作减少信号量，资源不足时进程可能进入阻塞。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-sync,基础,选择题,自编变式题,2026,90
互斥信号量初值通常设为?（变式 2，操作系统-进程管理）,A.进程数+1|B.1|C.0|D.-1,B,互斥资源同一时刻只能被一个进程访问，因此二元信号量初值常为 1。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-sync,基础,选择题,自编变式题,2026,100
死锁产生的必要条件不包括?（变式 2，操作系统-进程管理）,A.响应比最高|B.互斥|C.不可剥夺|D.循环等待,A,死锁必要条件包括互斥、占有并等待、不可剥夺和循环等待。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-sync,中等,选择题,自编变式题,2026,110
银行家算法用于?（变式 2，操作系统-进程管理）,A.死锁检测后的恢复|B.文件压缩|C.页面置换|D.死锁避免,D,银行家算法在资源分配前判断系统是否仍处于安全状态。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-sync,中等,选择题,自编变式题,2026,120
临界区是指?（变式 3，操作系统-进程管理）,A.用户输入区|B.磁盘空闲区|C.访问共享资源的代码段|D.内核全部代码,C,临界区中会访问共享资源，需要互斥保护以避免竞争。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-sync,中等,选择题,自编变式题,2026,80
信号量 wait 操作的核心语义是?（变式 3，操作系统-进程管理）,A.创建文件|B.申请资源并可能阻塞|C.释放资源|D.终止进程,B,wait/P 操作减少信号量，资源不足时进程可能进入阻塞。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,os-sync,中等,选择题,自编变式题,2026,90
